TimeT,AccT,VelT,PosT
18155,3.78563904761905,0,0
18159,3.78563904761905,0,0
18164,3.78563904761905,0,-0.2453655
18168,3.78563904761905,-0.981462,0.1962924
18173,-1.12167095238095,0,0
18177,-1.12167095238095,0,0
18182,-1.12167095238095,0,0
18186,-1.12167095238095,0,0.1472195
18191,-1.12167095238095,0.7360975,-0.184024375
18195,1.82271904761905,0,0
18200,1.82271904761905,0,0
18204,1.82271904761905,0,-0.5398045
18209,1.82271904761905,-2.6990225,0.674755625
18213,-8.97337095238095,0,0
18218,-8.97337095238095,0,0
18222,-8.97337095238095,0,0
18227,-8.97337095238095,0,-0.42939
18231,-8.97337095238095,-1.71756,0.42939
18235,-15.843610952381,0,0
18240,-15.843610952381,0,0
18244,-15.843610952381,0,0.4907315
18249,-15.843610952381,2.4536575,-0.613414375
18253,-6.02898095238095,0,0
18258,-6.02898095238095,0,0
18262,-6.02898095238095,0,0
18267,-6.02898095238095,0,0.2453655
18271,-6.02898095238095,0.981462,-0.1962924
18276,-1.12167095238095,0,0
18280,-1.12167095238095,0,0
18285,-1.12167095238095,0,-0.392585
18289,-1.12167095238095,-1.57034,0.314068
18294,-8.97337095238095,0,0
18298,-8.97337095238095,0,0
18303,-8.97337095238095,0,0
18307,-8.97337095238095,0,-0.0490730000000001
18312,-8.97337095238095,-0.245365,0.0613412500000001
18316,-9.95483095238095,0,0
18321,-9.95483095238095,0,0
18325,-9.95483095238095,0,0.2944385
18330,-9.95483095238095,1.4721925,-0.368048125
18334,-4.06606095238095,0,0
18339,-4.06606095238095,0,0
18343,-4.06606095238095,0,0
18348,-4.06606095238095,0,-0.1472195
18352,-4.06606095238095,-0.588878,0.1177756
18357,-7.01045095238095,0,0
18361,-7.01045095238095,0,0
18366,-7.01045095238095,0,0.122683125
18370,-7.01045095238095,0.4907325,-0.122683125
18374,-5.04752095238095,0,0
18379,-5.04752095238095,0,0
18383,-5.04752095238095,0,0
18388,-5.04752095238095,0,-0.049073
18392,-5.04752095238095,-0.196292,0.0392584
18397,-6.02898095238095,0,0
18401,-6.02898095238095,0,0
18406,-6.02898095238095,0,0.2453655
18410,-6.02898095238095,0.981462,-0.1962924
18415,-1.12167095238095,0,0
18419,-1.12167095238095,0,0
18424,-1.12167095238095,0,0
18428,-1.12167095238095,0,0.2453655
18433,-1.12167095238095,1.2268275,-0.306706875
18437,3.78563904761905,0,0
18442,3.78563904761905,0,0
18446,3.78563904761905,0,0.0981465
18451,3.78563904761905,0.4907325,-0.122683125
18455,5.74856904761905,0,0
18460,5.74856904761905,0,0
18464,5.74856904761905,0,0
18469,5.74856904761905,0,0.147219
18473,5.74856904761905,0.588876,-0.1177752
18478,8.69294904761905,0,0
18482,8.69294904761905,0,0
18487,8.69294904761905,0,0.245366
18491,8.69294904761905,0.981464,-0.1962928
18496,13.600269047619,0,0
18500,13.600269047619,0,0
18505,13.600269047619,0,0
18509,13.600269047619,0,-0.0981465
18514,13.600269047619,-0.4907325,0.122683125
18518,11.637339047619,0,0
18522,11.637339047619,0,0
18527,11.637339047619,0,-0.1962925
