TimeT,AccT
7.414,-56.7846133333333
7.418,-56.7846133333333
7.423,-56.7846133333333
7.427,-56.7846133333333
7.432,-56.7846133333333
7.436,-66.5992333333333
7.441,-66.5992333333333
7.445,-66.5992333333333
7.45,-66.5992333333333
7.454,-72.4880133333333
7.459,-72.4880133333333
7.463,-72.4880133333333
7.468,-72.4880133333333
7.472,-72.4880133333333
7.477,-77.3953233333333
7.481,-77.3953233333333
7.486,-77.3953233333333
7.49,-77.3953233333333
7.495,-71.5065533333333
7.499,-71.5065533333333
7.504,-71.5065533333333
7.508,-71.5065533333333
7.512,-59.7290033333333
7.517,-59.7290033333333
7.521,-59.7290033333333
7.526,-59.7290033333333
7.53,-59.7290033333333
7.535,-56.7846133333333
7.539,-56.7846133333333
7.544,-56.7846133333333
7.548,-56.7846133333333
7.553,-58.7475333333333
7.557,-58.7475333333333
7.562,-58.7475333333333
7.566,-58.7475333333333
7.571,-58.7475333333333
7.575,-59.7290033333333
7.58,-59.7290033333333
7.584,-59.7290033333333
7.589,-59.7290033333333
7.593,-59.7290033333333
7.598,-59.7290033333333
7.602,-59.7290033333333
7.607,-59.7290033333333
7.611,-54.8216833333333
7.616,-54.8216833333333
7.62,-54.8216833333333
7.625,-54.8216833333333
7.629,-54.8216833333333
7.634,-43.0441333333333
7.638,-43.0441333333333
7.643,-43.0441333333333
7.647,-43.0441333333333
7.652,-21.4519633333333
7.656,-21.4519633333333
7.661,-21.4519633333333
7.665,-21.4519633333333
7.67,-21.4519633333333
7.674,-15.5631933333333
7.679,-15.5631933333333
7.683,-15.5631933333333
7.688,-15.5631933333333
7.692,-14.5817233333333
7.696,-14.5817233333333
7.701,-14.5817233333333
7.705,-14.5817233333333
7.71,-29.3036633333333
7.714,-29.3036633333333
7.719,-29.3036633333333
7.723,-29.3036633333333
7.728,-29.3036633333333
7.732,-49.9143733333333
7.737,-49.9143733333333
7.741,-49.9143733333333
7.746,-49.9143733333333
7.75,-61.6919233333333
7.755,-61.6919233333333
7.759,-61.6919233333333
7.764,-61.6919233333333
7.768,-61.6919233333333
7.773,-66.5992333333333
7.777,-66.5992333333333
7.782,-66.5992333333333
7.786,-66.5992333333333
7.791,-57.7660733333333
7.795,-57.7660733333333
7.8,-57.7660733333333
7.804,-57.7660733333333
7.809,-46.9699833333333
7.813,-46.9699833333333
7.818,-46.9699833333333
7.822,-46.9699833333333
7.827,-46.9699833333333
7.831,-36.1739033333333
7.836,-36.1739033333333
7.84,-36.1739033333333
7.845,-36.1739033333333
7.849,-27.3407433333333
7.854,-27.3407433333333
7.858,-27.3407433333333
7.863,-27.3407433333333
7.867,-27.3407433333333
7.872,-30.2851233333333
7.876,-30.2851233333333
7.88,-30.2851233333333
7.885,-30.2851233333333
7.889,-31.2665833333333
7.894,-31.2665833333333
7.898,-31.2665833333333
7.903,-31.2665833333333
7.907,-37.1553633333333
7.912,-37.1553633333333
7.916,-37.1553633333333
7.921,-37.1553633333333
7.925,-37.1553633333333
7.93,-45.0070633333333
7.934,-45.0070633333333
7.939,-45.0070633333333
7.943,-45.0070633333333
7.948,-56.7846133333333
7.952,-56.7846133333333
7.957,-56.7846133333333
7.961,-56.7846133333333
7.966,-56.7846133333333
7.97,-68.5621633333333
7.975,-68.5621633333333
7.979,-68.5621633333333
7.984,-68.5621633333333
7.988,-75.4324033333333
7.993,-75.4324033333333
7.997,-75.4324033333333
8.002,-75.4324033333333
8.006,-75.4324033333333
8.011,-71.5065533333333
0,-71.5065533333333
0.005,-71.5065533333333
0.009,-71.5065533333333
0.014,-69.5436233333333
0.018,-69.5436233333333
0.023,-69.5436233333333
0.027,-69.5436233333333
0.032,-63.6548533333333
0.036,-63.6548533333333
0.041,-63.6548533333333
0.045,-63.6548533333333
0.05,-63.6548533333333
0.054,-52.8587633333333
0.058,-52.8587633333333
0.063,-52.8587633333333
0.067,-52.8587633333333
0.072,-44.0256033333333
0.076,-44.0256033333333
0.081,-44.0256033333333
0.085,-44.0256033333333
0.09,-44.0256033333333
0.094,-46.9699833333333
0.099,-46.9699833333333
0.103,-46.9699833333333
0.108,-46.9699833333333
0.112,-51.8773033333333
0.117,-51.8773033333333
0.121,-51.8773033333333
0.126,-51.8773033333333
0.13,-51.8773033333333
0.135,-51.8773033333333
0.139,-51.8773033333333
0.144,-51.8773033333333
0.148,-51.8773033333333
0.153,-55.8031533333333
0.157,-55.8031533333333
0.162,-55.8031533333333
0.166,-55.8031533333333
0.171,-57.7660733333333
0.175,-57.7660733333333
0.18,-57.7660733333333
0.184,-57.7660733333333
0.189,-57.7660733333333
0.193,-62.6733833333333
0.198,-62.6733833333333
0.202,-62.6733833333333
0.207,-62.6733833333333
0.211,-64.6363133333333
0.216,-64.6363133333333
0.22,-64.6363133333333
0.225,-64.6363133333333
0.229,-61.6919233333333
0.234,-61.6919233333333
0.238,-61.6919233333333
0.242,-61.6919233333333
0.247,-61.6919233333333
0.251,-48.9329133333333
0.256,-48.9329133333333
0.26,-48.9329133333333
0.265,-48.9329133333333
0.269,-42.0626733333333
0.274,-42.0626733333333
0.278,-42.0626733333333
0.283,-42.0626733333333
0.287,-42.0626733333333
0.292,-37.1553633333333
0.296,-37.1553633333333
0.301,-37.1553633333333
0.305,-37.1553633333333
0.31,-41.0812133333333
0.314,-41.0812133333333
0.319,-41.0812133333333
0.323,-41.0812133333333
0.328,-41.0812133333333
0.332,-41.0812133333333
0.337,-41.0812133333333
0.341,-41.0812133333333
0.346,-41.0812133333333
0.35,-49.9143733333333
0.355,-49.9143733333333
0.359,-49.9143733333333
0.364,-49.9143733333333
0.368,-54.8216833333333
0.373,-54.8216833333333
0.377,-54.8216833333333
0.382,-54.8216833333333
0.386,-54.8216833333333
0.391,-56.7846133333333
0.395,-56.7846133333333
0.4,-56.7846133333333
0.404,-56.7846133333333
0.409,-58.7475333333333
0.413,-58.7475333333333
0.418,-58.7475333333333
0.422,-58.7475333333333
0.427,-54.8216833333333
0.431,-54.8216833333333
0.435,-54.8216833333333
0.44,-54.8216833333333
0.444,-54.8216833333333
0.449,-59.7290033333333
0.453,-59.7290033333333
0.458,-59.7290033333333
0.462,-59.7290033333333
0.467,-57.7660733333333
0.471,-57.7660733333333
0.476,-57.7660733333333
0.48,-57.7660733333333
0.485,-57.7660733333333
0.489,-57.7660733333333
0.494,-57.7660733333333
0.498,-57.7660733333333
0.503,-57.7660733333333
0.507,-55.8031533333333
0.512,-55.8031533333333
0.516,-55.8031533333333
0.521,-55.8031533333333
0.525,-55.8031533333333
0.53,-52.8587633333333
0.534,-52.8587633333333
0.539,-52.8587633333333
0.543,-52.8587633333333
0.548,-49.9143733333333
0.552,-49.9143733333333
0.557,-49.9143733333333
0.561,-49.9143733333333
0.566,-47.9514533333333
0.57,-47.9514533333333
0.575,-47.9514533333333
0.579,-47.9514533333333
0.584,-47.9514533333333
0.588,-49.9143733333333
0.593,-49.9143733333333
0.597,-49.9143733333333
